TimeGenerated [UTC],time,activity_id,activity_name,category_uid,category_name,class_uid,class_name,type_uid,type_name,severity_id,severity,message,raw_data,raw_record,status_id,status,action_id,action,disposition_id,disposition,rcode,rcode_id,metadata,unmapped,actor,device,file,process,user,dst_endpoint,src_endpoint,traffic,query,answers,driver,module,app,HalcyonEventId,HalcyonSourceTime,TenantId,Type,_ResourceId
2026-07-24T08:00:00Z,1784880000000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,5,Critical,Halcyon BadFileExtension blocked: invoice.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000001""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""BadFileExtension"", ""halcyon_alert_id"": ""alert-000001""}","{""process"": {""pid"": 5001, ""name"": ""explorer.exe"", ""cmd_line"": ""\""C:\\Windows\\explorer.exe\"""", ""file"": {""name"": ""explorer.exe"", ""path"": ""C:\\Windows\\explorer.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d1""}]}, ""parent_process"": {""pid"": 701}}, ""user"": {""name"": ""CORP\\jdoe"", ""uid"": ""S-1-5-21-1001""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0001.corp.local"", ""uid"": ""dev-0001""}","{""name"": ""invoice.exe"", ""path"": ""C:\\Users\\jdoe\\Downloads\\invoice.exe"", ""ext"": ""exe"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000001""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000001,2026-07-24T08:00:00Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T08:14:07Z,1784880847000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,5,Critical,Halcyon MaliciousFileEncryption blocked: report.docx,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000002""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousFileEncryption"", ""halcyon_alert_id"": ""alert-000002""}","{""process"": {""pid"": 5002, ""name"": ""cmd.exe"", ""cmd_line"": ""cmd /c report.docx"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d2""}]}, ""parent_process"": {""pid"": 702}}, ""user"": {""name"": ""CORP\\jdoe"", ""uid"": ""S-1-5-21-1002""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0002.corp.local"", ""uid"": ""dev-0002""}","{""name"": ""report.docx"", ""path"": ""C:\\Users\\jdoe\\Documents\\report.docx"", ""ext"": ""docx"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000002""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000002,2026-07-24T08:14:07Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T08:28:14Z,1784881694000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,3,Medium,Halcyon FolderRedirection detected: Documents,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000003""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""FolderRedirection"", ""halcyon_alert_id"": ""alert-000003""}","{""process"": {""pid"": 5003, ""name"": ""explorer.exe"", ""cmd_line"": ""\""C:\\Windows\\explorer.exe\"""", ""file"": {""name"": ""explorer.exe"", ""path"": ""C:\\Windows\\explorer.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d3""}]}, ""parent_process"": {""pid"": 703}}, ""user"": {""name"": ""CORP\\analyst"", ""uid"": ""S-1-5-21-1003""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0003.corp.local"", ""uid"": ""dev-0003""}","{""name"": ""Documents"", ""path"": ""C:\\Users\\analyst\\Documents"", ""type_id"": 2}",,,,,,,,,,,e3000000-0000-0000-0000-000000000003,2026-07-24T08:28:14Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T08:42:21Z,1784882541000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,4,High,Halcyon VulnerableDriver blocked: vulndrv.sys,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000004""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""VulnerableDriver"", ""halcyon_alert_id"": ""alert-000004"", ""halcyon_exploited_driver"": ""vulndrv.sys"", ""halcyon_targeted_product"": ""Halcyon Agent""}","{""process"": {""pid"": -1, ""name"": ""unknown""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0004.corp.local"", ""uid"": ""dev-0004""}","{""name"": ""vulndrv.sys"", ""path"": ""C:\\Windows\\System32\\drivers\\vulndrv.sys"", ""ext"": ""sys"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000004""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000004,2026-07-24T08:42:21Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T08:56:28Z,1784883388000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,4,High,Halcyon WdacTamperAttempt blocked: policy.cip,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000005""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""WdacTamperAttempt"", ""halcyon_alert_id"": ""alert-000005"", ""halcyon_wdac_policy_guid"": ""{00000005-0000-0000-0000-000000000000}"", ""halcyon_wdac_reason"": ""PolicyTamper"", ""halcyon_sub_type"": ""Enforcement""}","{""process"": {""pid"": -1, ""name"": ""unknown""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0005.corp.local"", ""uid"": ""dev-0005""}","{""name"": ""policy.cip"", ""path"": ""C:\\Windows\\System32\\CodeIntegrity\\policy.cip"", ""ext"": ""cip"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000005""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000005,2026-07-24T08:56:28Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T09:10:35Z,1784884235000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,4,High,Halcyon BadFileExtension blocked: setup.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000006""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""BadFileExtension"", ""halcyon_alert_id"": ""alert-000006""}","{""process"": {""pid"": 5006, ""name"": ""cmd.exe"", ""cmd_line"": ""cmd /c setup.exe"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d6""}]}, ""parent_process"": {""pid"": 706}}, ""user"": {""name"": ""CORP\\analyst"", ""uid"": ""S-1-5-21-1006""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""WKSTN-06"", ""uid"": ""dev-0006""}","{""name"": ""setup.exe"", ""path"": ""C:\\Temp\\setup.exe"", ""ext"": ""exe"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000006""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000006,2026-07-24T09:10:35Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T09:24:42Z,1784885082000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,5,Critical,Halcyon MaliciousFileEncryption detected: budget.xlsx,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000007""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousFileEncryption"", ""halcyon_alert_id"": ""alert-000007""}","{""process"": {""pid"": 5007, ""name"": ""explorer.exe"", ""cmd_line"": ""\""C:\\Windows\\explorer.exe\"""", ""file"": {""name"": ""explorer.exe"", ""path"": ""C:\\Windows\\explorer.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d7""}]}, ""parent_process"": {""pid"": 707}}, ""user"": {""name"": ""CORP\\svc-admin"", ""uid"": ""S-1-5-21-1007""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0007.corp.local"", ""uid"": ""dev-0007""}","{""name"": ""budget.xlsx"", ""path"": ""D:\\Shares\\finance\\budget.xlsx"", ""ext"": ""xlsx"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000007""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000007,2026-07-24T09:24:42Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T09:38:49Z,1784885929000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,3,Medium,Halcyon FolderRedirection detected: AppData,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000008""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""FolderRedirection"", ""halcyon_alert_id"": ""alert-000008""}","{""process"": {""pid"": 5008, ""name"": ""cmd.exe"", ""cmd_line"": ""cmd /c AppData"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007d8""}]}, ""parent_process"": {""pid"": 708}}, ""user"": {""name"": ""CORP\\svc-admin"", ""uid"": ""S-1-5-21-1008""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0008.corp.local"", ""uid"": ""dev-0008""}","{""name"": ""AppData"", ""path"": ""C:\\Users\\svc-admin\\AppData"", ""type_id"": 2}",,,,,,,,,,,e3000000-0000-0000-0000-000000000008,2026-07-24T09:38:49Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T09:52:56Z,1784886776000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,5,Critical,Halcyon VulnerableDriver blocked: rwdrv.sys,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000009""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""VulnerableDriver"", ""halcyon_alert_id"": ""alert-000009"", ""halcyon_exploited_driver"": ""rwdrv.sys"", ""halcyon_targeted_product"": ""Halcyon Agent""}","{""process"": {""pid"": -1, ""name"": ""unknown""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0009.corp.local"", ""uid"": ""dev-0009""}","{""name"": ""rwdrv.sys"", ""path"": ""C:\\Windows\\System32\\drivers\\rwdrv.sys"", ""ext"": ""sys"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000009""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000009,2026-07-24T09:52:56Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-24T10:06:03Z,1784887563000,99,Other,1,System Activity,1001,File System Activity,100199,File System Activity: Other,4,High,Halcyon MaliciousFileEncryption blocked: photos.zip,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""original_event_uid"": ""e3000000-0000-0000-0000-000000000010""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousFileEncryption"", ""halcyon_alert_id"": ""alert-000010""}","{""process"": {""pid"": 5010, ""name"": ""cmd.exe"", ""cmd_line"": ""cmd /c photos.zip"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000007da""}]}, ""parent_process"": {""pid"": 710}}, ""user"": {""name"": ""CORP\\administrator"", ""uid"": ""S-1-5-21-1010""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0010.corp.local"", ""uid"": ""dev-0010""}","{""name"": ""photos.zip"", ""path"": ""E:\\backup\\photos.zip"", ""ext"": ""zip"", ""type_id"": 1, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""000000000000000000000000000000000000000000000000000000000000000a""}]}",,,,,,,,,,,e3000000-0000-0000-0000-000000000010,2026-07-24T10:06:03Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
